source,relationship,target,source_paper_title
Chatbot,utilizes,NLP,"Proceedings - 2024 4th International Conference on Innovative Sustainable Computational Technologies, CISCT 2024"
Chatbot,enhances,Customer Service,"Proceedings - 2024 4th International Conference on Innovative Sustainable Computational Technologies, CISCT 2024"
Chatbot,automates,Marketing,"Proceedings - 2024 4th International Conference on Innovative Sustainable Computational Technologies, CISCT 2024"
MSME,requires,qualified professionals,Artificial Intelligence in Ecuadorian SMEs: Drivers and Obstacles to Adoption
AI adoption,remains limited in,marketing-related functions,Artificial Intelligence in Ecuadorian SMEs: Drivers and Obstacles to Adoption
AI technologies,has potential for,real-world implementation,Artificial Intelligence in Ecuadorian SMEs: Drivers and Obstacles to Adoption
MSMEs,needs targeted strategies for,workforce training and digital infrastructure development,Artificial Intelligence in Ecuadorian SMEs: Drivers and Obstacles to Adoption
Retailers,use,AI,Application of Data Science and Artificial Intelligence in Retail Sector
Data Science,improves,Supply Chain,Application of Data Science and Artificial Intelligence in Retail Sector
Marketing Strategies,tailor,Customer Experiences,Application of Data Science and Artificial Intelligence in Retail Sector
AI,enhance,Customer Service Touchpoints,Application of Data Science and Artificial Intelligence in Retail Sector
Behavioral Analytics,gain,Insightful Knowledge,Application of Data Science and Artificial Intelligence in Retail Sector
Data Science Applications,explain,CRM and Fraud Detection,Application of Data Science and Artificial Intelligence in Retail Sector
AI Applications,elucidate,Self-Checkout Technology and Chatbots,Application of Data Science and Artificial Intelligence in Retail Sector
Retailers,adopt,New Technologies,Application of Data Science and Artificial Intelligence in Retail Sector
Artificial Intelligence (AI),transform,Retail Sector,Application of Data Science and Artificial Intelligence in Retail Sector
Data Science,enable,Digital Transformation in Retail,Application of Data Science and Artificial Intelligence in Retail Sector
AI,improves,data informed decisions,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
context-aware AI,replaces,traditional AI systems,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
context-aware AI,adjusts,outputs,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
context-aware AI system,combines,data pipelines,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
context-aware AI system,increases,efficiency and adaptability,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
proposed framework,confirms,scalability and domain adaptability,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
real-time computing cost,persists,concern,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
framework,necessitates,domain-specific customization,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
next phase of research,intends to enable,effective real-time distributed data processing,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
XAI techniques,fosters,trust and transparency,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
federated learning approaches,improves,data privacy and contextual adaptability,Context-Aware AI: Revolutionizing Data Engineering for Smarter Decisions
Generative AI,enhances,account-based marketing,Agentic artificial intelligence in the enterprise
Generative AI,generates,actions,Agentic artificial intelligence in the enterprise
Generative AI,reasons,unstructured data,Agentic artificial intelligence in the enterprise
Agentic systems,implements,enterprises,Agentic artificial intelligence in the enterprise
Machine learning,automates,large-scale processes,Agentic artificial intelligence in the enterprise
Predictive modelling,enhances,targeting and personalisation,Agentic artificial intelligence in the enterprise
AI,enhances,security,The Use of Artificial Intelligence in the Bank Card Industry
AI,improves,customer experience,The Use of Artificial Intelligence in the Bank Card Industry
machine learning,detects,fraudulent activities,The Use of Artificial Intelligence in the Bank Card Industry
natural language processing,analyzes,transaction patterns,The Use of Artificial Intelligence in the Bank Card Industry
AI,provides,personalized financial services,The Use of Artificial Intelligence in the Bank Card Industry
advanced algorithms,monitor,transactions,The Use of Artificial Intelligence in the Bank Card Industry
AI,automates,customer support,The Use of Artificial Intelligence in the Bank Card Industry
AI-powered analytics,provides,insights into customer behavior,The Use of Artificial Intelligence in the Bank Card Industry
banks,leverage,AI,The Use of Artificial Intelligence in the Bank Card Industry
AI,offers,tailored financial products and services,The Use of Artificial Intelligence in the Bank Card Industry
AI,detects,unusual spending patterns,The Use of Artificial Intelligence in the Bank Card Industry
AI-driven solutions,flag,potentially fraudulent transactions,The Use of Artificial Intelligence in the Bank Card Industry
AI,aids,regulatory compliance,The Use of Artificial Intelligence in the Bank Card Industry
AI,enhances,guest experiences,Leveraging AI for branding strategy in service marketing of hotels
AI,streamlines,operations,Leveraging AI for branding strategy in service marketing of hotels
AI,strengthens,market positioning,Leveraging AI for branding strategy in service marketing of hotels
AI,augments,customer service,Leveraging AI for branding strategy in service marketing of hotels
chatbots,provides,24/7 support,Leveraging AI for branding strategy in service marketing of hotels
AI,optimizes,operational efficiencies,Leveraging AI for branding strategy in service marketing of hotels
AI,augments,marketing,Revolutionised technologies for marketing: Theoretical review with focus on artificial intelligence
internet,creates,personalisation,Revolutionised technologies for marketing: Theoretical review with focus on artificial intelligence
AI,forms,neuromarketing,Revolutionised technologies for marketing: Theoretical review with focus on artificial intelligence
AI,replaces,mass media advertising,Revolutionised technologies for marketing: Theoretical review with focus on artificial intelligence
researchers,analyses,AI tools,Revolutionised technologies for marketing: Theoretical review with focus on artificial intelligence
LLMs,augments,email generation,Design and Development of an AI-Powered Cold Mail Generator
prompt-based approach,improves,LLM accuracy,Design and Development of an AI-Powered Cold Mail Generator
LLMs,automates,job posting extraction,Design and Development of an AI-Powered Cold Mail Generator
LLMs,generates,personalized cold emails,Design and Development of an AI-Powered Cold Mail Generator
traditional methods,decreases,productivity and efficiency,Design and Development of an AI-Powered Cold Mail Generator
AI,improves,efficiency,Managing Production Processes in TV Advertising Using AI
AI,optimizes,creative approaches,Managing Production Processes in TV Advertising Using AI
AI,fine-tunes,messaging,Managing Production Processes in TV Advertising Using AI
AI,streamlines,operation,Managing Production Processes in TV Advertising Using AI
AI,enhances,efficiency and efficacy,Managing Production Processes in TV Advertising Using AI
GBMs,achieves,highest accuracy,Managing Production Processes in TV Advertising Using AI
AI,provides,"cost savings, speed, and relevancy of content",Managing Production Processes in TV Advertising Using AI
AI,fosters,personalized marketing strategies,Managing Production Processes in TV Advertising Using AI
AI,augments,customer service,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AI,boosts,marketing outcomes,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
ML,enables,omnichannel experiences,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AR,enables,operational improvements,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AI,boosts,customer engagement,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AI,enhances,user experience,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AI,accelerates,sales growth,How Conversational AI Transforms Customer Service at Sephora With Virtual Beauty Assistants
AI,augments,user experiences,An analysis of artificial intelligence automation in digital music streaming platforms for improving consumer subscription responses: a review
AI,drives,subscription growth,An analysis of artificial intelligence automation in digital music streaming platforms for improving consumer subscription responses: a review
AI automation,personalizes,music recommendations,An analysis of artificial intelligence automation in digital music streaming platforms for improving consumer subscription responses: a review
AI automation,optimizes,subscription offerings,An analysis of artificial intelligence automation in digital music streaming platforms for improving consumer subscription responses: a review
AI automation,improves,customer support services,An analysis of artificial intelligence automation in digital music streaming platforms for improving consumer subscription responses: a review
AI,augments,digital marketing,"1st International Conference on Applications of AI in 5G and IOT, ICAAI5GI 2024"
IoT,requires,machine learning,"1st International Conference on Applications of AI in 5G and IOT, ICAAI5GI 2024"
AI,assists,consumers,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
AI,empowers,human workforce,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
AI,transforms,industries,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
AI,replaces,humans,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
consumers,recognize,AI,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
data privacy,blurs,AI driven technology,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
consumers,accepts,social complacency,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
cognitive dissonance,occurs,users of AI,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
people,seek,resolve discomfort,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
human-robot interactions,increases,cognitive dissonance,Humanizing the Terminator: Artificial Intelligence Trends in the Customer Journey: An Abstract
businesses,leverage,AI,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
enterprises,struggle,transition,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
companies,use,specific function,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
enterprises,adopt,crossdisciplinary integration,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
AI-verse architecture,enable,standardize AI management,Navigating AI Adoption - An 'AI Verse' Framework for Enterprises
AI,augments,marketing campaigns,Utilizing AI for optimizing brand campaigns
AI,analyses,consumer behavior,Utilizing AI for optimizing brand campaigns
Machine learning,enhances,audience segmentation,Utilizing AI for optimizing brand campaigns
Machine learning,improves,targeting,Utilizing AI for optimizing brand campaigns
AI,automates,A/B testing,Utilizing AI for optimizing brand campaigns
AI,optimizes,ad content,Utilizing AI for optimizing brand campaigns
AI,boosts,ROI,Utilizing AI for optimizing brand campaigns
NLP,allows,customer sentiment analysis,Utilizing AI for optimizing brand campaigns
experts,divided,future use,The influence of artificial intelligence on content personalization and engagement in B2B marketing strategies; [SÜNİ İNTELLEKTİN MƏZMUNUN FƏRDİLƏŞDİRİLMƏSİNƏ VƏ B2B MARKETİNQ STRATEGİYALARINA CƏLB EDİLMƏSİNƏ TƏSİRİ]
EU,changed,world,The influence of artificial intelligence on content personalization and engagement in B2B marketing strategies; [SÜNİ İNTELLEKTİN MƏZMUNUN FƏRDİLƏŞDİRİLMƏSİNƏ VƏ B2B MARKETİNQ STRATEGİYALARINA CƏLB EDİLMƏSİNƏ TƏSİRİ]
HR managers,requires,AI tools,HR 4.0 PRACTICES IN THE POST-COVID-19 SCENARIO
HRM curriculum,includes,task automation technologies,HR 4.0 PRACTICES IN THE POST-COVID-19 SCENARIO
Task automation technologies,augments,workforce management,HR 4.0 PRACTICES IN THE POST-COVID-19 SCENARIO
Employee work-life balance,improves,human productivity,HR 4.0 PRACTICES IN THE POST-COVID-19 SCENARIO
AI,automates,production,Generative AI in Content Creation: Opportunities and Ethical Challenges
AI,transforms,media,Generative AI in Content Creation: Opportunities and Ethical Challenges
AI,augments,marketing,Generative AI in Content Creation: Opportunities and Ethical Challenges
AI,creates,opportunities,Generative AI in Content Creation: Opportunities and Ethical Challenges
AI,threatens,jobs,Generative AI in Content Creation: Opportunities and Ethical Challenges
AI,amplifies,incorrect information,Generative AI in Content Creation: Opportunities and Ethical Challenges
marketing,augments,AI,What Will Massively Influence the Automation of Marketing and Sales in the Future
chatbots,replaces,avatars,What Will Massively Influence the Automation of Marketing and Sales in the Future
humans,loses,fear,What Will Massively Influence the Automation of Marketing and Sales in the Future
software engineers,work with,digital marketers,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
machines,augment,showcasing,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
marketers,have access to,correct information on customers,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
search engine marketing automation,has potential,marketing,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
humans,play essential role in,formulation of abstract strategies,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
promoting offices,use and utilize,ML-driven investigation instruments,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
organizations,distinguish valuable open doors,quantitative ML devices in computerized showcasing,A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
AI,augments,efficiency,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,improves,strategic decision-making,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,requires,data,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,creates,hyper-personalized engagement,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,automates,CRM,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,enables,agile business decision-making,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,lets,anticipate trends,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,derives,real-time insights,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,boosts,patient adherence,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI-driven tools,improves,demand forecasting accuracy,Leveraging Artificial Intelligence for Strategic Transformation in Pharma Sales and Lifecycle Marketing: A Business-Centric Perspective
AI,augments,candy development,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,resolves,technical barriers,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
machine learning,optimizes,R&D timelines,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
computer vision,detects,defects,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,accelerates,innovation,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,pioneers,low-sugar alternatives,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,augments,consumer engagement,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,drives,sustainable sourcing,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,requires,collaboration,Sweets and Smarts: A Comprehensive Review of AI Applications in Future Candy Research and Development
AI,augments,marketing,The usage of artificial intelligence in digital marketing: A review
neural networks,improves,decision-making,The usage of artificial intelligence in digital marketing: A review
expert systems,automates,tasks,The usage of artificial intelligence in digital marketing: A review
social computing technology,applies,understanding social networks,The usage of artificial intelligence in digital marketing: A review
data mining techniques,analyses,social networks,The usage of artificial intelligence in digital marketing: A review
AI,augments,marketing,Activity Recognition as a Service for Smart Home: Ambient Assisted Living Application via Sensing Home
framework,requires,cloud service,Activity Recognition as a Service for Smart Home: Ambient Assisted Living Application via Sensing Home
AI,reduces,cost,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,generates,leads,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,reduces,call time,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,reduces,team workload,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,increases,conversion,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,identifies,patterns,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,provides,knowledge,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,automates,tedious activities,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,covers,trends,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,improves,accuracy,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,improves,efficiency,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,analyzes,candidate's potential,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,detects,threats,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
AI,monitors,patterns,"The Importance of Artificial Intelligence in Start-up, Automation, and Scalation of Business for Entrepreneurs"
marketing,revolutionizes,immersive technologies,"2nd International Conference on Emerging Materials, Smart Manufacturing and Computational Intelligence, ICEMSMCI 2024"
AI-driven tech,implements,image processing,"2nd International Conference on Emerging Materials, Smart Manufacturing and Computational Intelligence, ICEMSMCI 2024"
machine learning,applies,predictive analysis,"2nd International Conference on Emerging Materials, Smart Manufacturing and Computational Intelligence, ICEMSMCI 2024"
intelligent automation,improves,healthcare,"2nd International Conference on Emerging Materials, Smart Manufacturing and Computational Intelligence, ICEMSMCI 2024"
