"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Hutson J.; Smith A.","Hutson, James (57797793000); Smith, Andrew (56472991800)","57797793000; 56472991800","NextGen digital marketing in the age of AI","2025","NextGen Digital Marketing in the Age of AI","","","","1","356","0","10.4018/979-8-3373-2518-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013009967&doi=10.4018%2F979-8-3373-2518-7&partnerID=40&md5=287b8f8bbb712f5a3c811566c7693b50","In the evolving landscape of technology, NextGen digital marketing is reshaped by the transformative power of artificial intelligence (AI). As traditional strategies give way to data-driven automation, personalized experiences, and predictive analytics, businesses harness AI to reach audiences more efficiently and effectively. From chatbots and content generation to customer insights and targeted campaigns, AI enhances digital marketing. This demands that marketers embrace innovation, adapt to emerging tools, and rethink connections with modern consumers. NextGen Digital Marketing in the Age of AI outlines the transformative impact of AI on the digital marketing landscape. It contrasts the historical utility of traditional AI for optimizing processes like audience segmentation and predictive analytics with the revolutionary creative capabilities of generative intelligent technologies. This book covers topics such as consumer science, generated content, and marketing campaigns, and is a useful resource for business owners, marketers, academicians, researchers, and data scientists. © 2026 by IGI Global Scientific Publishing. All rights reserved.","Book","Final","","Scopus","2-s2.0-105013009967"
"","","","17th International Conference on Cross-Cultural Design, CCD 2025, held as part of the 27th HCI International Conference, HCII 2025","2025","Lecture Notes in Computer Science","15782 LNCS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008504569&partnerID=40&md5=b71d0da33af21cf74175dc45e50298b5","The proceedings contain 29 papers. The special focus in this conference is on Cross-Cultural Design. The topics include: Research on Innovative Education Model Based on AIGC Technology to Promote Interdisciplinary STEAM Learning in K12; An Empirical Study on the Technological Acceptance of AIGC in Design Education: A Multidimensional Analysis Based on Structural Equation Modeling; Co-creation and Spontaneous Interaction in Higher Education: An AI-Digital Platform for Showcasing Student-Driven Design Outcomes; Factors Influencing Technology Learning in a Bio-Sensing STEM Program: Exploring Socio-Cultural Factors for Secondary School Students; Embodied Interaction Assistance System (EIAs) for Enhancing Cross-Cultural Education: Designing Immersive and Personalized Learning Experiences; quantum Resonance in Educational Design: Aesthetic Principles Inspired by Dionysian Spirit and Poetic Wisdom; designing Augmented Reality-Based Tools for Enhancing Children’s Art Learning of Intangible Cultural Heritage; research on Cross Disciplinary Practice of Creative Design Curriculum in the Era of Cultural and Technological Integration; real Visualization Attracts More? The Cross-Cultural Difference Study of Consumer Visual Perception on Album Cover Design of Music Streaming Platforms; user-Centered Design of a Smart Home Voice System for Older Chinese Adults; a New Paradigm of Apparel Design Path in the Human-Machine Collaborative Model; can Large Language Models Effectively Implement Abusive Language Detection Across Domains and Across Languages?; what is Secret Recipe Behind Digital Marketing? The Study of Cross-Cultural Differences in Consumers’ Visual Perception and Personality on Digital Marketing Attitude; identifying Key Features for Classifying Takeover Performance in Level 3 Autonomous Vehicles with Consideration of Takeover Readiness; human-Centric Kitchen Ecosystems: A Mixed-Methods Study on Behavioral Chains and High-Demand Design Priorities.","Conference review","Final","","Scopus","2-s2.0-105008504569"
"Krowinska A.","Krowinska, Agata (58754935400)","58754935400","Book Summary - 12 Guiding Principles of Content Marketing","2023","Digital Content Marketing: Creating Value in Practice","","","","228","230","0","10.4324/9781003346500-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179296137&doi=10.4324%2F9781003346500-13&partnerID=40&md5=5f7d2f8ebc4fa89180419287d00d7e7a","Summarising the chapters of this book, the following 12 guiding principles provide a roadmap to marketers who seek to implement content marketing into their marketing practice. Content Marketing can only be successful if content is in some way of value to the targeted audience. To increase the likelihood for this to occur, the audience must be clearly defined so that content can be created to match or fit with the target group’s interests. Importantly, content marketing is not the same as advertising - therefore, its focus should be on the benefits that campaigns with each individual piece of content offer. Content signals brand personality and values, and thus shapes stakeholders’ views of its sender. It is thus crucial that marketers create a clear branding guide for employees and external partners involved in content creation and delivery to ensure quality and consistency of their content marketing outputs. Planning is an essential element of developing a content marketing strategy. Marketers should not engage in producing and distributing any content without having defined SMART objectives. Also, content to be shared with their audiences must be created and delivered strategically and be an integrated part of the overall marketing plan. Planning also includes selecting a set of appropriate metrics to monitor and evaluate content performance. Content creation requires creativity. Effective content marketing puts content ideation at its core, developing creative outputs that respond to the brief. As consistently developing innovative and creative ideas is challenging, tools such as reflective diaries or brainstorming sessions can be useful to foster creativity. One pathway towards effective content marketing practice is through the provision of value through informative content. Elicitation of value through informative content can help organisations stimulate positive customer engagement behaviours on social media, have a positive impact on brand perceptions, improve brand health, and help raise brand awareness. Content creators should evaluate the educational value of their content and ensure that the content’s main topic is related to the brand values and ethos. Expert knowledge or areas of expertise an organisation or individual can draw on are a very good basis for the creation of informative content. Providing audiences with content that has entertainment benefits can stimulate brand-related interactions and help brands communicate their personality. Branded entertainment content should always focus on providing entertainment while the branded message should only be embedded very subtly. Where appropriate, brands can use humour in their content marketing practice; this can help the message to become more relatable and engaging. Given the visual nature of most social media platforms, it is important to use high quality visuals as they can also foster engagement and improve a brand’s reputation. Also, embedding social value in content marketing can positively impact consumer satisfaction, trust, brand reputation, and loyalty. Marketers can create social value through digital content that stimulates interactions between brands and consumers as well as other consumers in the social media settings. Relational content helps brands to foster socialisation, improve brand experience, and build strong and long-lasting relationships with targeted audiences. The more interactions marketers can stimulate via content, the greater the chances for building strong online brand communities - which should be a goal of any digital marketer. Brands should engage in activities that embrace co-creation and inspire the creation of user-generated content (UGC). UGC is particularly suited to stimulate engagement and increase reach. People tend to trust other people over brands, therefore, UGC content can be a great way to improve trust and convince users. However, marketers need to clearly define their UGC campaigns so that the developed content corresponds with brand values and marketing goals. It is crucial for marketers to always acknowledge UGC creators and thank them in an appropriate form for their content. Using social media influencers to create or disseminate content is a great way to generate user engagement, increase trust, and boost online reach. As there are many types of influencers, organisations need to make sure that they select the influencer who is appropriate for their content marketing goals. When deciding about which influencers to collaborate with, marketers should be guided by the following criteria: influencer’s reach, engagement rate, authenticity, trustworthiness, content and audience quality, and values. To effectively engage online audiences, brands should aim to post content regularly. However, constant creation of new content can be costly and time consuming. Rather than solely focusing on own content, marketers can also embrace content curation and adapt existing content from third party sources to the brand’s messaging. When engaging in content curation, it is crucial for the marketer to make sure that the curated content comes from a reputable source, and that it is relevant to the target audience. Content marketing can be of particular value when used in conjunction with sponsorship and as a means of leveraging the sponsor-sponsee relationship throughout contract duration. Also here, the provision of value to fans and brand-related communities is key; whereby symbolic, and social benefits have been identified as particularly effective in terms of driving positive audience responses. A focus on mid- to long-term brand shaping, assuming a fan- and audiences-based perspective, a co-creative approach, and integrating sponsorship and leveraging within the broader marketing mix are additional important principles for content marketing in sponsorship contexts. Marketers should practice ethical content marketing. This includes aspects such as ensuring to disclose sponsorships or compensations schemes, maintaining sincerity and honesty in their practice, and always fact-check every piece of content to make sure that the dissented information is accurate. Furthermore, the marketer should avoid harm to vulnerable groups, maintain professional standards, adequately recompense influencers, be respectful, loyal, and socially responsible. As the digital environment is under the state of constant development, content creators need to make sure that they stay up to date with the latest trends and technological advancements. AI-generated content can be a powerful tool for creating engaging and relevant content for the target audience. Similarly, embracing the augmented reality and virtual reality formats can help to effectively engage key audiences and spark third-party publication. © 2024 selection and editorial matter, Agata Krowinska, Christof Backhaus, Benjamin Becker and Fabian Bosser; individual chapters, the contributors.","Book chapter","Final","","Scopus","2-s2.0-85179296137"
"Ravikumar R.N.; Aarthi S.; Sapayev V.; Esanov A.","Ravikumar, R.N. (57225425090); Aarthi, S. (57281533900); Sapayev, Valisher (59743912600); Esanov, Alijon (60195957400)","57225425090; 57281533900; 59743912600; 60195957400","Generative Artificial Intelligence for Visual Branding and Creative Automation in Modern Marketing Ecosystems","2026","AI, Machine Learning, and Image Processing in Market Research and Branding","","","","1","32","0","10.4018/979-8-3373-4506-2.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031784133&doi=10.4018%2F979-8-3373-4506-2.ch001&partnerID=40&md5=c67bce785c5a81775d193fe7ee653818","Generative AI(GenAI)is transforming visual branding by enabling automated creation of logos, packaging, advertising content, and social media assets. Leveraging models like GANs and diffusion models, tools such as DALL^E, Midjourney, and Canva's Magic Design facilitate personalized, high-quality visuals at scale. This chapter explores GenAI's role in branding evolution from creative automation to real-time content personalization and integration into AR/VR environments. Case studies, including Coca-Cola's “Create Real Magic” and Canva's AI-driven design tools, demonstrate increased engagement, user participation, and operational efficiency. The chapter also addresses ethical concerns, copyright ambiguity, and the importance of human-AI collaboration. GenAI, when implemented responsibly, redefines branding with agility, creativity, and data-driven precision. © 2026 by IGI Global Scientific Publishing. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-105031784133"
"Bellaaj M.; El Abed A.","Bellaaj, Moez (55307649900); El Abed, Amina (57193434022)","55307649900; 57193434022","Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study","2026","Lecture Notes in Business Information Processing","560 LNBIP","","","301","316","0","10.1007/978-3-032-08603-7_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022933805&doi=10.1007%2F978-3-032-08603-7_19&partnerID=40&md5=54dc1aa795147999c96b0390ebf6dffd","This study investigates the use of generative artificial intelligence (AI) in communication agencies in Tunisia, analyzing data from five agencies. The findings show that AI is mainly used to inspire content ideas, enhance the quality of images and videos, and assist in scriptwriting. However, it is not fully relied upon for content or logo creation. The study also highlights several opportunities, including time savings, increased productivity, enhanced creativity, error reduction, and improved task efficiency, which allow design teams to focus more on strategic and creative work. Despite these advantages, challenges such as the unreliability of AI tools, data security concerns, high costs, integration difficulties, and the potential for misuse were identified. In conclusion, the study underscores that while AI offers significant benefits, a balanced collaboration between AI and designers is crucial to achieving the best results in communication agencies. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Conference paper","Final","","Scopus","2-s2.0-105022933805"
"Wei D.; Li L.; You Z.","Wei, Dong (59196956200); Li, Lingxuan (59196956300); You, Zongyuan (59196536700)","59196956200; 59196956300; 59196536700","Teaching Practices and Reflections on AIGC in Brand Advertising Design","2024","Communications in Computer and Information Science","2118 CCIS","","","113","124","8","10.1007/978-3-031-61963-2_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197126479&doi=10.1007%2F978-3-031-61963-2_12&partnerID=40&md5=5b6b31ceec42a26b69860915d0e3fa15","Generative Artificial Intelligence (AIGC) technology has been quickly evolving since 2022, with advertising becoming one of its most popular applications. This opens up new potential and difficulties for current and future brand advertising design education. This article investigates AIGC's design thinking transformation in brand advertising design using the course “AIGC: Machine-Assisted Innovative Design for Brand Advertising” offered at Communication University of China (CUC) during the summer semester of 2023. The goal is to help students comprehend AI art and machine learning, to break down the homogenization of AIGC-generated outcomes from an art and design standpoint, and to develop students’ critical thinking skills so that they can reconsider the creative value of the human brain. The course is structured into two parts: the first part focuses on learning and experiencing AIGC technologies such as ChatGPT, Midjourney, Runway, and others, and applying them thoroughly in design practice. The second half of the course focuses on China Chic brand advertisements and uses hand-drawing, computer-aided design, and AICG to create a whole case design. The course findings demonstrate that AIGC tools have a high level of innovation in the creative process, but there are some issues such as uncontrollability and homogeneity that require humans to spend more time and energy adapting. Students agreed that generative AI can be an effective technique to inspire human creativity, and that when employing AIGC tools, designers should look for ways to collaborate with AI rather than viewing it as a total replacement for humans. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Conference paper","Final","","Scopus","2-s2.0-85197126479"
"Kahn B.E.; Johnson E.N.","Kahn, Barbara E. (7102171412); Johnson, Elizabeth N. (58126970600)","7102171412; 58126970600","Visual Marketing: A Practical Guide to the Science of Branding and Retailing","2025","Visual Marketing: A Practical Guide to the Science of Branding and Retailing","","","","1","170","0","10.4324/9781003426899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000108753&doi=10.4324%2F9781003426899&partnerID=40&md5=fcff9f3082c03a94cb72277cb64d348b","As the world accelerates towards the digital realm post-pandemic, it has never been more important for marketers and designers to have a solid understanding of visual marketing and the key principles and concepts behind it. Visual Marketing analyses the post-pandemic digital transformation, including AI, taking place across an increasingly competitive marketing landscape. Against this background, the book utilises proven principles in consumer psychology, marketing, and neuroscience to propose creative and useful visual strategies to increase the effectiveness of marketing efforts, illustrating this with many contemporary real-world examples. Reflecting on observations around the radical disruption in the retail industry in particular, the authors introduce the “Kahn Retailing Success Matrix,” which has successfully guided marketing strategy across many industries. The book also highlights the significant influence of visual and physiological principles on how human observers see and interpret visual stimuli, and how applying these fundamental principles will provide marketers with incredible differential advantage in a customer-centric world. Readers will also gain in-depth understanding of how to use new measurement tools that rely on data analytics; choice and preference behaviour; eye tracking and other measures of attention; memory; and emotions to evaluate strategies and measure success. This innovative and incisive new textbook is a valuable resource for both undergraduate and postgraduate students of such subjects as Consumer Behaviour, Marketing Strategy, Visual Marketing, and Retailing. Online resources include course exercises, lecture slides, and suggested mini case studies. Please visit www.routledge.com/9781032731322. © 2025 Barbara E. Kahn and Elizabeth N. Johnson.","Book","Final","","Scopus","2-s2.0-86000108753"
"Schneider T.; Maximiliano C.; Pedri Pereira L.; Treptow D.; Araújo Alves S.L.","Schneider, Thaissa (60337822800); Maximiliano, Cristiani (59393597300); Pedri Pereira, Laura (60337586200); Treptow, Doris (60337941500); Araújo Alves, Samuel Levi (60337705500)","60337822800; 59393597300; 60337586200; 60337941500; 60337705500","Strategic use of generative AI in fashion collections: from creation to promotion","2026","AI and Society","","","","","","0","10.1007/s00146-025-02781-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027806475&doi=10.1007%2Fs00146-025-02781-1&partnerID=40&md5=4ac6a282d2e4044949d2d2b2014b0553","This study investigates the strategic application of generative artificial intelligence (GenAI) tools in fashion collection development, examining how AI can enhance creative processes while maintaining design authenticity. The research addresses the gap between technical AI capabilities and their practical implementation in fashion design methodologies. Using Treptow’s (Inventando moda: planejamento de colecao, 5th edn. D. Treptow, São Paulo, 2013) four-stage fashion collection development framework (Planning, Design, Development, and Promotion/Commercialization), this experimental study employed structured prompt engineering with Claude 3.5 Sonnet, ChatGPT-4o mini, and DALL·E to simulate luxury beachwear collection development. Multiple AI illustrative personas were created to represent different professional roles, generating outputs for trend research, design alternatives, visual development, prototype approval, and marketing strategies. A qualitative analysis examined the effectiveness and limitations of AI integration across each development phase. Results demonstrate that well-crafted prompts can effectively guide AI tools to produce relevant design concepts, trend analyses, and marketing strategies that align with traditional fashion development processes. However, significant limitations emerged in visual consistency and collection cohesion, particularly in comprehensive design visualization. The study reveals that AI functions most effectively as a creative amplifier rather than a replacement, requiring substantial human oversight for maintaining design integrity and brand authenticity. The findings have implications for fashion education, suggesting the need for AI literacy integration in design curricula. Fashion professionals can leverage structured prompt engineering to accelerate ideation, trend research, and marketing development while maintaining creative control. This research contributes the first systematic framework for applying GenAI across the complete fashion collection development cycle, providing empirical evidence of AI’s capabilities and constraints in creative fashion processes. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.","Review","Article in press","","Scopus","2-s2.0-105027806475"
"Dimuthu Maduranga Arachchi H.A.; Samarasinghe G.D.","Dimuthu Maduranga Arachchi, H.A. (57913435300); Samarasinghe, G.D. (54394210900)","57913435300; 54394210900","Impact of Deepfake Advertising Attributes on Consumers' Hedonic & Utilitarian Values and Brand Credibility","2024","Proceedings - International Research Conference on Smart Computing and Systems Engineering, SCSE 2024","","","","","","5","10.1109/SCSE61872.2024.10550666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196717755&doi=10.1109%2FSCSE61872.2024.10550666&partnerID=40&md5=f3e60d31fca6e305339d2281c749aafc","Creative AI technologies, like deepfakes and generative adversarial networks, are making it possible to make and edit audio and video material in advertising in new ways. These new tools make it easy to make big changes to ads and create brand related positive consequences in the mind of target consumers. From a marketing paradigm, this study focused on explaining the relationship between the deepfakes Advertising attributes and brand credibility via hedonic and utilitarian value, which is underexploited empirically in an AI driven Advertising space. Thus, in order to address this empirical knowledge void, an extensive literature review was undertaken and four hypotheses were derived to explain the potential relationships. Quantitative methodology with a survey strategy was undertaken drawing an effective sample size of 229 young undergraduate consumers of Sri Lankan public universities. Furthermore, analysis was carried out using Smart partial least squares (PLS)-structural equation modelling. The study first finds a significant direct relationship between the deepfake Advertising, hedonic value and utilitarian value. It also finds significant relationships between hedonic value, utilitarian value and brand credibility. The findings shed the light on improving Advertising and marketing effectiveness through branding applications. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85196717755"
"Jalil O.Y.A.; Mohammed N.J.; Shaker N.M.","Jalil, Omar Yassein Abdul (60113027900); Mohammed, Nabaa Jasim (60113355600); Shaker, Noor Mohammed (59265786500)","60113027900; 60113355600; 59265786500","Managing Production Processes in TV Advertising Using AI","2025","2025 IEEE 4th International Conference on Computing and Machine Intelligence, ICMI 2025 - Proceedings","","","","","","0","10.1109/ICMI65310.2025.11141255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017003510&doi=10.1109%2FICMI65310.2025.11141255&partnerID=40&md5=bcbcaaed9f21b504ad7d187b44f924b5","This paper investigates the role of artificial intelligence (AI) in operational management of production process of TV advertising. But as AI technology swiftly develops, it opens new doors for the ad industry to improve efficiency, optimize creative approaches and fine-tune messaging. Integrating AI into the production cycle can help advertising companies streamline the functioning of the operation, improve the decision-making process, and better predict consumer behavior. The paper examines different forms of AI-based machine learning and automation tools such Decision Trees, Random Forest, and Gradient Boosting Machines (GBMs) that can help enhance the efficiency and efficacy of TV and production processes. The results show that GBMs got the highest accuracy with 87% line up with findings previously reported that show AI applications in this space can help provide significant cost savings, speed, and relevancy of content. The paper also addresses the challenges and ethical implications of using AI in media, especially how it affects data privacy and creates the possibility of bias in automated decision-making. AI is a transformative force in TV advertising, fostering more precise, effective, and personalized marketing strategies. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105017003510"
